order_id,user_id,order_date,order_status,channel,reported_total_products,line_number,product_id,line_product_name,line_category,unit_price,quantity,line_discount_percentage,catalog_product_name,category,brand,catalog_price,catalog_discount_percentage,inventory,rating,reviews,sku,catalog_duplicate_flag,age,country,city,retailer_type,customer_name,product_name,country_original,channel_original,status_original,discount_percentage,revenue,price_segment,year,quarter,month,month_name,year_month,delivered_flag,canceled_flag,product_match_flag,user_match_flag,price_difference,price_difference_pct,data_quality_flag,valid_sales_flag
1,65,2024-12-03,delivered,Direct Sales,2,1,8,CoreFit Basketball Shoes v3,Footwear,91.6,18.0,8.9,CoreFit Basketball Shoes v3,Footwear,CoreFit,91.6,8.9,343.0,3.2,709,SR-FOO-0008,False,47,Argentina,Tucumán,Department Store,Josefina Duarte,CoreFit Basketball Shoes v3,Argentina,Direct Sales,delivered,8.9,1648.8,Medio,2024,4,12,Diciembre,2024-12,1,0,True,True,0.0,0.0,OK,True
1,65,2024-12-03,delivered,Direct Sales,2,2,58,AthletX Sports Bra v3,Apparel,87.71,112.0,7.5,AthletX Sports Bra v3,Apparel,AthletX,87.71,7.5,280.0,4.6,321,SR-APP-0058,False,47,Argentina,Tucumán,Department Store,Josefina Duarte,AthletX Sports Bra v3,Argentina,Direct Sales,delivered,7.5,9823.519999999999,Medio,2024,4,12,Diciembre,2024-12,1,0,True,True,0.0,0.0,OK,True
2,6,2024-06-10,shipped,Distributor,2,1,91,CoreFit Resistance Bands v1,Equipment,36.9,61.0,18.0,CoreFit Resistance Bands v1,Equipment,CoreFit,36.9,18.0,161.0,2.8,558,SR-EQU-0091,False,30,Chile,Valparaíso,Independent,Roxana Jara,CoreFit Resistance Bands v1,Chile,Distributor,shipped,18.0,2250.9,Económico,2024,2,6,Junio,2024-06,0,0,True,True,0.0,0.0,OK,True
2,6,2024-06-10,shipped,Distributor,2,2,57,CoreFit Sports Bra v2,Apparel,64.26,83.0,7.4,CoreFit Sports Bra v2,Apparel,CoreFit,64.26,7.4,65.0,3.0,690,SR-APP-0057,False,30,Chile,Valparaíso,Independent,Roxana Jara,CoreFit Sports Bra v2,Chile,Distributor,shipped,7.4,5333.580000000001,Medio,2024,2,6,Junio,2024-06,0,0,True,True,0.0,0.0,OK,True
3,87,2024-06-03,delivered,Direct Sales,5,1,7,SportRetail Pro Basketball Shoes v2,Footwear,203.78,13.0,19.3,SportRetail Pro Basketball Shoes v2,Footwear,SportRetail Pro,203.78,19.3,40.0,4.6,113,SR-FOO-0007,False,54,Chile,Santiago,Superstore,Karina Ibarra,SportRetail Pro Basketball Shoes v2,Chile,Direct Sales,delivered,19.3,2649.14,Premium,2024,2,6,Junio,2024-06,1,0,True,True,0.0,0.0,OK,True
3,87,2024-06-03,delivered,Direct Sales,5,2,102,CoreFit Yoga Mat v2,Equipment,89.84,76.0,15.6,CoreFit Yoga Mat v2,Equipment,CoreFit,89.84,15.6,338.0,4.5,212,SR-EQU-0102,False,54,Chile,Santiago,Superstore,Karina Ibarra,CoreFit Yoga Mat v2,Chile,Direct Sales,delivered,15.6,6827.84,Medio,2024,2,6,Junio,2024-06,1,0,True,True,0.0,0.0,OK,True
3,87,2024-06-03,delivered,Direct Sales,5,3,81,PowerEdge Gym Bag v1,Accessories,29.43,41.0,17.4,PowerEdge Gym Bag v1,Accessories,PowerEdge,29.43,17.4,154.0,4.6,624,SR-ACC-0081,False,54,Chile,Santiago,Superstore,Karina Ibarra,PowerEdge Gym Bag v1,Chile,Direct Sales,delivered,17.4,1206.6299999999999,Económico,2024,2,6,Junio,2024-06,1,0,True,True,0.0,0.0,OK,True
3,87,2024-06-03,delivered,Direct Sales,5,4,83,SpeedMax Gym Bag v3,Accessories,75.79,114.0,2.6,SpeedMax Gym Bag v3,Accessories,SpeedMax,75.79,2.6,491.0,3.4,480,SR-ACC-0083,False,54,Chile,Santiago,Superstore,Karina Ibarra,SpeedMax Gym Bag v3,Chile,Direct Sales,delivered,2.6,8640.060000000001,Medio,2024,2,6,Junio,2024-06,1,0,True,True,0.0,0.0,OK,True
3,87,2024-06-03,delivered,Direct Sales,5,5,43,CoreFit Track Jacket v3,Apparel,24.85,82.0,8.3,CoreFit Track Jacket v3,Apparel,CoreFit,24.85,8.3,66.0,4.1,278,SR-APP-0043,False,54,Chile,Santiago,Superstore,Karina Ibarra,CoreFit Track Jacket v3,Chile,Direct Sales,delivered,8.3,2037.7,Económico,2024,2,6,Junio,2024-06,1,0,True,True,0.0,0.0,OK,True
4,45,2024-11-26,shipped,Direct Sales,3,1,84,PowerEdge Gym Bag v4,Accessories,51.74,55.0,16.3,PowerEdge Gym Bag v4,Accessories,PowerEdge,51.74,16.3,315.0,4.5,561,SR-ACC-0084,False,42,Perú,Piura,Superstore,Maura Grau,PowerEdge Gym Bag v4,Perú,Direct Sales,shipped,16.3,2845.7000000000003,Medio,2024,4,11,Noviembre,2024-11,0,0,True,True,0.0,0.0,OK,True
